designation	id_text	museum_no	collection	excavation_no	provenience	period	primary_publication	author	publication_date	publication_history	Cohen_balag	Delnero_no	Delnero_subgenre_no	Delnero_remarks	material	object_type	language	sub_genre	accession_no	cdli_comments	atf_source	date_remarks	cdli_collation	electronic_publication
VS 02, 057	P342865	VAT 01576	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 057	Zimmern, Heinrich	1912			172	Balag ID (113)		clay	tablet					no atf			
VS 02, 058	P342866	VAT 01380	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 058	Zimmern, Heinrich	1912			127	Uncertain TT and D (493)		clay	tablet					no atf			
VS 02, 059	P342867	VAT 01472	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 059	Zimmern, Heinrich	1912			154	Balag ID (34)		clay	tablet					no atf			
VS 02, 061	P342869	VAT 01544	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 061	Zimmern, Heinrich	1912	J. Krecher, SKLy (1966: 211–13)		162	Ershemma NG (389)		clay	tablet					no atf			
VS 02, 062	P342870	VAT 01548	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 062	Zimmern, Heinrich	1912			164	Ershemma Enlil (411)		clay	tablet					no atf			
VS 02, 064	P342872	VAT 00610 +	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 064	Zimmern, Heinrich	1912			100	Balag NG (171)		clay	tablet					no atf			
VS 02, 066	P342874	VAT 01416	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 066	Zimmern, Heinrich	1912			140	Balag Enki (277)		clay	tablet					no atf			
VS 02, 067	P342875	VAT 01541	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 067	Zimmern, Heinrich	1912	Alster (1988: 11 n. 16)		159	Balag Enki (276)		clay	tablet					no atf			
VS 02, 069	P342877	VAT 01509	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 069	Zimmern, Heinrich	1912	U. Gabbay, HES 2 (2015: 125–26)		155	Ershemma Utu (434)		clay	tablet					no atf			
VS 02, 070	P342878	VAT 01314	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 070	Zimmern, Heinrich	1912	U. Gabbay, HES 2 (2015: 125–26)		106	Ershemma Utu (429)		clay	tablet					no atf			
VS 02, 072	P342880	VAT 01344	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 072	Zimmern, Heinrich	1912	M. Cohen, Sumerian Hymnology  (1981), pp.33-35.		114	Ershemma Utu (436)		clay	tablet					no atf			
VS 02, 074	P342882	VAT 01377	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 074	Zimmern, Heinrich	1912	D. Schwemer, Wettergottgestalten (2001: 180–81)		124	Ershemma Ishkur (445)		clay	tablet					no atf			
VS 02, 076	P342884	VAT 01417	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 076	Zimmern, Heinrich	1912			141	Balag Martu (272)		clay	tablet					no atf			
VS 02, 077	P342885	VAT 01384	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 077	Zimmern, Heinrich	1912			130	Ershemma Martu (447)		clay	tablet					no atf			
VS 02, 086	P342894	VAT 01543	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 086	Zimmern, Heinrich	1912			161	Ershemma Uncertain Deity (460)		clay	tablet					no atf			
VS 02, 087	P342895	VAT 01538	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 087	Zimmern, Heinrich	1912			158	Balag Uncertain Deity (292)		clay	tablet					no atf			
VS 02, 088	P342896	VAT 01390	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 088	Zimmern, Heinrich	1912			133	Balag Uncertain Deity (291)		clay	tablet					no atf			
VS 02, 090	P342898	VAT 01563	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 090	Zimmern, Heinrich	1912			168	Balag ID (80)		clay	tablet					no atf			
VS 02, 092	P342900	VAT 01364	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 092	Zimmern, Heinrich	1912			119	Balag Uncertain Deity (288)		clay	tablet					no atf			
VS 02, 094	P342902	VAT 01419	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 094	Zimmern, Heinrich	1912	Krecher (1967a: 30–65)		142	Ershemma ID (348)		clay	tablet					no atf			
VS 02, 095	P342903	VAT 01367	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 095	Zimmern, Heinrich	1912	Krecher (1967a: 30–65)		121	Ershemma ID (347)		clay	tablet					no atf			
VS 02, 096	P342904	VAT 01414	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 096	Zimmern, Heinrich	1912			138	Balag NG (176)		clay	tablet					no atf			
VS 10, 101	P342909	VAT 04112	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 101	Zimmern, Heinrich	1913	Kutscher (1975: 9 = Source Fc)		213	Ershemma Enlil (414)		clay	tablet					no atf			
VS 10, 103	P342911	VAT 03423	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 103	Zimmern, Heinrich	1913	Matini, Lobpreis (2014: 33)		178	Balag Enlil (247)		clay	tablet					no atf			
VS 10, 104	P342912	VAT 03425	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 104	Zimmern, Heinrich	1913	Matini, Lobpreis (2014: 33)		179	Balag Enlil (248)		clay	tablet					no atf			
VS 10, 109	P342917	VAT 03561	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 109	Zimmern, Heinrich	1913	Å. Sjöberg, MSN (1960: 44–64)		204	Ershemma Nanna-Suen (456)		clay	tablet					no atf			
VS 10, 110	P342918	VAT 03533	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 110	Zimmern, Heinrich	1913			191	Ershemma ID (349)		clay	tablet					no atf			
VS 10, 111	P342919	VAT 03551	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 111	Zimmern, Heinrich	1913			198	Ershemma ID (350)		clay	tablet					no atf			
VS 10, 113	P342921	VAT 03580	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 113	Zimmern, Heinrich	1913	U. Gabbay, HES 2 (2015: 256–59)		210	Ershemma Nanna-Suen (457)		clay	tablet					no atf			
VS 10, 114	P342922	VAT 03530	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 114	Zimmern, Heinrich	1913			189	Ershemma ID (367)		clay	tablet					no atf			
VS 10, 115	P342923	VAT 03531	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 115	Zimmern, Heinrich	1913			190	Ershemma ID (368)		clay	tablet					no atf			
VS 10, 117	P342925	VAT 03416	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 117	Zimmern, Heinrich	1913	P. Delnero, How to do Things (2020: 241-242)		174	Balag ID (35)		clay	tablet					no atf			
VS 10, 119	P342927	VAT 03422	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 119	Zimmern, Heinrich	1913			177	Balag Uncertain Deity (297)		clay	tablet					no atf			
VS 10, 123	P342931	VAT 06077	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 123	Zimmern, Heinrich	1913	M. Fritz, AOAT 307 (2003: 121–23)		216	Balag ID (83)		clay	tablet					no atf			
VS 10, 128	P342936	VAT 03536	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 128	Zimmern, Heinrich	1913			192	Balag ID (82)		clay	tablet					no atf			
VS 10, 129	P342937	VAT 03552 + VAT 03562	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 129	Zimmern, Heinrich	1913			199	Ershemma ID (371)		clay	tablet					no atf			
VS 10, 130	P342938	VAT 03548	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 130	Zimmern, Heinrich	1913			196	Ershemma Uncertain Deity (462)		clay	tablet					no atf			
VS 10, 131	P342939	VAT 03558	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 131	Zimmern, Heinrich	1913			202	Ershemma Martu (448)		clay	tablet					no atf			
VS 10, 135	P342943	VAT 03435	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 135	Zimmern, Heinrich	1913			183	Balag Enlil (249)		clay	tablet					no atf			
VS 10, 144	P342952	VAT 03537	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 144	Zimmern, Heinrich	1913			193	Uncertain TT Enlil (485)		clay	tablet					no atf			
VS 10, 146	P342954	VAT 03547	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 146	Zimmern, Heinrich	1913			195	Ershemma Uncertain Deity (461)		clay	tablet					no atf			
VS 10, 148	P342956	VAT 03576	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 148	Zimmern, Heinrich	1913			208	Ershemma Utu (437)		clay	tablet					no atf			
VS 10, 149	P342957	VAT 03526 + VAT 03540	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 149	Zimmern, Heinrich	1913			186	Balag Utu (269)		clay	tablet					no atf			
VS 10, 150	P342958	VAT 03544	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 150	Zimmern, Heinrich	1913			194	Ershemma ID (369)		clay	tablet					no atf			
VS 10, 153	P342961	VAT 03430	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 153	Zimmern, Heinrich	1913	U. Gabbay, HES 2 (2015: 129)		181	Ershemma Ishkur (444)		clay	tablet					no atf			
VS 10, 155	P342963	VAT 03417	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 155	Zimmern, Heinrich	1913			175	Balag Uncertain Deity (296)		clay	tablet					no atf			
VS 10, 157	P342965	VAT 03426	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 157	Zimmern, Heinrich	1913			180	Balag Uncertain Deity (298)		clay	tablet					no atf			
VS 10, 159	P342967	VAT 03574	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 159	Zimmern, Heinrich	1913			207	Ershemma ID (372)		clay	tablet					no atf			
VS 10, 161	P342969	VAT 03555	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 161	Zimmern, Heinrich	1913			200	Balag ID (114)		clay	tablet					no atf			
VS 10, 166	P342974	VAT 03550	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 166	Zimmern, Heinrich	1913			197	Uncertain TT ID (370)		clay	tablet					no atf			
VS 10, 167	P342975	VAT 03606	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 167	Zimmern, Heinrich	1913	Limet (2000: 3–8)		212	Ershemma AD (396)		clay	tablet					no atf			
VS 10, 168	P342976	VAT 03527	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 168	Zimmern, Heinrich	1913			187	Balag Uncertain Deity (299)		clay	tablet					no atf			
VS 10, 170	P342978	VAT 03529	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 170	Zimmern, Heinrich	1913			188	Balag Uncertain Deity (300)		clay	tablet					no atf			
VS 10, 172	P342980	VAT 03559	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 172	Zimmern, Heinrich	1913			203	Balag Uncertain Deity (301)		clay	tablet					no atf			
VS 10, 173	P342981	VAT 03589	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 173	Zimmern, Heinrich	1913	Black (2005: 51–52)		211	Balag ID (190)		clay	tablet					no atf			
VS 10, 175	P342983	VAT 03556	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 175	Zimmern, Heinrich	1913			201	Ershemma Enlil (422)		clay	tablet					no atf			
VS 10, 176	P342984	VAT 01555	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 176	Zimmern, Heinrich	1913	Black (1985: 74)		165	Balag ID (79)		clay	tablet					no atf			
VS 10, 178	P342986	VAT 01556	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 178	Zimmern, Heinrich	1913	J. Krecher, SKLy (1966: 34)		166	Balag Uncertain Deity (293)		clay	tablet					no atf			
VS 10, 179	P342987	VAT 01421	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 179	Zimmern, Heinrich	1913	S. Maul, Herzberuhigungsklagen (1988: 9); N. Wasserman, CM 27 (2003: 214); M. Jaques, OBO 273 (2015: 218-220); https://seal.huji.ac.il/index.php/node/1810		144	Ershemma ID (363)		clay	tablet					no atf			
VS 10, 182	P342990	VAT 04596	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 182	Zimmern, Heinrich	1913	Krecher (1967a: 32)		214	Balag NG (168)		clay	tablet					no atf			
VS 10, 183	P342991	VAT 03570	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 183	Zimmern, Heinrich	1913			206	Ershemma ID (357)		clay	tablet					no atf			
VS 10, 198	P343003	VAT 05448	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 198	Zimmern, Heinrich	1913	Black (2005: 54)		215	Ershemma AD (393)		clay	tablet					no atf			
VS 10, 201	P343006	VAT 07760	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 201	Zimmern, Heinrich	1913	U. Gabbay, HES 2 (2015: 237–38 = Source B)		219	Ershemma Uncertain Deity (464)		clay	tablet					no atf			
VS 10, 211	P343016	VAT 01512	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 211	Zimmern, Heinrich	1913	U. Gabbay, HES 2 (2015: 64 and 168)		156	Ershemma Utu (431)		clay	tablet					no atf			
VS 17, 48	P343067	VAT 01157	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 17, 48	van Dijk, Johannes J. A.	1971			105	Balag ID (31)		clay	tablet					no atf			
X.3.220	P433192	X.3.220	Michael C. Carlos Museum, Emory University, Atlanta, Georgia, USA			Old Babylonian	ZA 110, 028	Gabbay, Uri; Mirelam, Sam; Reid, J. Nicholas	2020				Shirnamshub?		clay	tablet	Sumerian				no atf			
PRAK C 047 + 	P344921	AO 10667 + AO 10735	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 047 + PRAK C 119			A. Cavigneaux, ASJ 9 (1987: 62); Bowen PSK 519		429	Ershemma ID (340)											
Babyloniaca 03, 75-78	X000101	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey			Old Babylonian	Langdon 1910, 75-78			U. Gabbay, HES 2 (2015: 125–26)		478	Ershemma Utu (428)											
BM 023696	X000102	BM 023696	British Museum, London, UK			Old Babylonian						026	Ershemma ID (323)	Unpublished, see Kramer 1980b, 297										
CT 58, 39A	P274234	BM 081014 + BM 132268	British Museum, London, UK			Old Babylonian	CT 58, 39A			Delnero (2016)		060	Balag Enlil (218)											
BM 083719	X000103	BM 083719	British Museum, London, UK			Old Babylonian						062	Ershemma Enlil (415)											
CBS 01689 +	P259021	CBS 01689 + CBS 04337 + CBS 04359	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						262	Balag Nergal (283)	Unpublished, see Black 1987, 39										
CBS 06891+	P264320	CBS 06891 + CBS 06897 + N 3671 + N 3682 + unnumbered	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	SEM 91 & STVC 83 &			M. Fritz, AOAT 307 (2003: 117–18)		269	Balag ID (40)											
CBS 08547 +	P263346	CBS 08547 + N 3465 + N 6898	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	STVC 39					272	Balag ID (41)											
CBS 11389 +	P266534	CBS 11389 + CBS 11393	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian				M. Fritz, AOAT 307 (2003: 117–118, 160)		288	Balag ID (15)											
TMH NF 4, 17 + TMH NF 4, 50	P345662	HS 1484 + HS 2520 + HS 2521 + HS 2683 + HS 2851 + HS 1453c	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian	TUM 4, 17 + TUM 4, 50			A. Löhnert, AOAT 365 (2009: 115–16 = Source N4)		357	Balag Enlil (226)											
HS 2509	X000104	HS 2509	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian						360	Balag Uncertain Deity (308)											
HS 2660	X000105	HS 2660	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian						361	Balag Uncertain Deity (309)											
HS 2686	X000106	HS 2686	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian						362	Balag ID (142)											
HS 2729	X000107	HS 2729	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian						363	Balag Uncertain Deity (310)											
ISET 1, 185 (pl. 127) Ist Ni 09798	X000108	Ist Ni 09798	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	ISET 1, 185 (pl. 127)			A. Löhnert, AOAT 365 (2009: 111 = Source N6)		355	Ershemma Enlil (490)											
N 1322 +	P276471	N 1322 + N 1331b + N 1355	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						299	Balag Nintu (198)											
N 1373 +	P277466	N 1373 + N 1386 + N 6329 + N 6809 + N 7910 + unnumbered	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						300	Balag ID (97)											
N 2372 +	X000109	N 2372 + N 3101 + N 4572 + N 6471 + N 7401	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						304	Balag ID (98)											
N 4210 +	P279073	N 4210 + unnumbered	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Löhnert 2009, pl. X			A. Löhnert, AOAT 365 (2009: 116–117 = Source N5)		333	Balag Enlil (225)											
UM 29-13-468 +	P255417	UM 29-13-468 + N 1353 + N 3167 + N 1760 + N 2654 + N 7293+	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						342	Balag Utu (268)											
UM 29-13-596 +	P255527	UM 29-13-596 + N 4188	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian						343	Balag Uncertain Deity (306)											
VS 02, 004	P342812	VAT 00613 + VAT 01335 + VAT 01349	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 02, 004			U. Gabbay, HES 2 (2015: 302–303 = Text II); P. Attinger, NABU 2001/41; A. Sjöberg, MSN (1960: 97-101).		102	Balag ID (73)											
VS 02, 073	P342881	VAT 01323 + VAT 03538	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 02, 073					107	Ershemma Utu (430)											
VS 02, 045	P342848	VAT 01360 (+?) VAT 01361	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 02, 045			Alster (1986: 20 = Source B); (Fritz 2003: 179–82)		118	Ershemma ID (360)											
VS 02, 040	X000110	VAT 01365 + VAT 01366	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 02, 040					120	Ershemma ID (361)											
VS 10, 174	P342982	VAT 01581 + VAT 03545 + VAT 03569	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 10, 174					173	Balag ID (81)											
VAT 03578	X000111	VAT 03578	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian						209	Uncertain TT ID (470)											
PRAK B 048 +	P343865	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 048 + PRAK B 296	Genouillac, Henri de	1924	Bowen PSK 495		365	Ershemma ID (351)											
PRAK B 255	P344071	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 255 = 259	Genouillac, Henri de	1924	Bowen PSK 553		376	Balag Bau (202)											
PRAK B 271 +	P344087	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 271 + PRAK C 066	Genouillac, Henri de	1924	Bowen PSK 523		378	Balag ID (148)											
PRAK B 322 +	P344138	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 322 + PRAK C 025	Genouillac, Henri de	1924	Bowen PSK 502		385	Ershemma NG (391)											
PRAK B 331 +	P344147	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 331 (+) PRAK C 059	Genouillac, Henri de	1924	Bowen PSK 559		386	Balag NG (185)											
PRAK B 332	P344148	Ist Ki 0915	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 332 (Ki 915)	Genouillac, Henri de	1924	Bowen PSK 503		387	Balag ID (149)											
PRAK B 420	P344236	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 420 bis	Genouillac, Henri de	1924	Bowen PSK 579		406	Balag Uncertain Deity (315)											
PRAK B 421	P344237	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 421b	Genouillac, Henri de	1924	Bowen PSK 509		407	Uncertain TT Enlil (491)											
PRAK B 425	P344241	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 425b	Genouillac, Henri de	1924	Bowen PSK 581		408	Balag ID (151)											
PRAK B 463	P344280	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 463A	Genouillac, Henri de	1924	Bowen PSK 585		412	Uncertain TT and D (503)											
PRAK B 585	X000112	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 463B (= PRAK B 585)	Genouillac, Henri de	1924	Bowen PSK 585		413	Balag ID (102)											
PRAK B 471	P344288	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 471A	Genouillac, Henri de	1924			415	Balag AD (193)											
PRAK B 471bis	P344289	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 471b	Genouillac, Henri de	1924	Bowen PSK 586		416	Balag ID (153)											
PRAK C 034	X000113	AO 10654	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 034	Genouillac, Henri de	1925	Bowen PSK 591		426	Ershemma Enlil (425)											
PRAK C 039 + 	P493270	AO 10713	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 039 + PRAK C 097	Genouillac, Henri de	1925	Bowen PSK 528		427	Ershemma Enlil (416)											
PRAK C 129	X000114				Kish	Old Babylonian	PRAK C 129	Genouillac, Henri de	1925	Bowen PSK 605		453	Balag Enlil (265)											
RA 017, 050	X000115				Larsa ?	Old Babylonian	RA 017, 050	Scheil, Vincent	1920	Black (2005: 50)		496	Balag AD (189)											
RA 008, 161	P355691	O12/0.095				Old Babylonian	RA 8, 161-169	Scheil, Vincent	1911	M. Fritz, AOAT 307 (2003: 112–13)		495	Ershemma ID (332)											
CT 58, 13	P274208	BM 088318	British Museum, London, UK			Old Babylonian	CT 58, 13	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 81-82); Shehata (2009: 270 nt.1561); B. Alster, Studies Hallo (1993: 20-21; S. Kramer, Recueil de travaux et communications de l'association des études du proche-orient ancien 2 (1984:  5-8).					clay	tablet								
CBS 11419a	P266561	CBS 11419a	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	ASJ 14, 018	Alster, Bendt	1992						clay	tablet								
Studies Sachs 249-250	P355680	BM 096679	British Museum, London, UK			Old Babylonian	Studies Sachs 249-250	Kramer, Samuel N.	1988						clay	tablet								
YOS 22, 55	P505941	YBC 09847	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	YOS 22, 55	Hallo, William W.	2018															
YOS 22, 56	P312023	YBC 12059	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	YOS 22, 56	Hallo, William W.	2018	Adrian C. Heinrich, AoF 49 (2022: 67; quoted as YBC 9847)														
JCS 39, 046	P357172	BM 029632	British Museum, London, UK		Sippar ?	Old Babylonian	JCS 39, 046	Michalowski, Piotr	1989	S. Maul, Herzberuhigungsklagen (1988: 9-10); M. Jaques, OBO 273 (2015: 212-217).					clay	tablet								
CT 42, 13	P283740	BM 015794	British Museum, London, UK			Old Babylonian	CT 42, 13	Figulla, Hugo H.	1959	Wagensonner, Klaus, WZKM 100 (2010) 219-242; Cohen JAOS 095, 593; Kramer, PAPS 107, 503														
VS 02, 047	P342855	VAT 01320	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 02, 047	Zimmern, Heinrich	1912	W.G. Lambert, JNES 33 (1976: 291); M. Jaques, OBO 273 (2015: 49-50)														
N 1372	P276518	N 1372	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	ASJ 14, 032-035	Alster, Bendt	1992						clay	tablet								
SLTNi 063	P345194	Ist Ni 02312	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	SLTNi 063	Kramer, Samuel N.	1944	Bendt Alster, ASJ 14 (1992: 32-35)					clay	tablet								
VS 10, 134	P342942	VAT 03434	Vorderasiatisches Museum, Berlin, Germany			Old Babylonian	VS 10, 134	Zimmern, Heinrich	1913	J. Krecher, SKly (1966: 195)					clay	tablet								
